"name","name_1","lon","lat","pm25_mean","pm25_sd","pm25_q2.5","pm25_q97.5"
"Rayón","México",-99.5670751042103,19.1388795877776,17.641189854325,1.03751943957226,16.3669027425714,19.0115536890536
"San Antonio la Isla","México",-99.5512864809302,19.168882468547,17.6430985538459,1.03737846842388,16.3713533059983,19.0070644971932
"San Felipe del Progreso","México",-99.9825233502568,19.6532170385678,17.6347456538531,1.03787807787373,16.3523753252764,19.0102782201
"San José del Rincón","México",-100.14533050677,19.6195971648677,17.6346641647898,1.03788056732602,16.3521996507717,19.0102628077637
"San Martín de las Pirámides","México",-98.8321945827007,19.7197713002403,17.2329192376643,1.03351571292635,16.0936061017854,18.4099877777011
"San Mateo Atenco","México",-99.5396880090695,19.2655303477155,17.6452399339583,1.03706038502594,16.3841533757364,18.990745381582
"San Simón de Guerrero","México",-100.036871728664,18.9800548192987,17.6346660091217,1.03788022645438,16.3522039165163,19.0102640443677
"Santo Tomás","México",-100.299812912886,19.1796879510411,17.6346521929218,1.03788094512569,16.3521732593804,19.0102608193615
"Soyaniquilpan de Juárez","México",-99.513874376978,20.0518053459448,17.6322170190948,1.03783218326081,16.3511047064831,19.0056744876374
"Sultepec","México",-99.989203379007,18.7346210152621,17.6346578896094,1.03788071773539,16.3521825794929,19.0102639520052
"Tecámac","México",-98.9865078455854,19.705836506252,16.8694331566841,1.02792839311011,15.9276242019157,17.8222627665134
"Tejupilco","México",-100.213091337282,18.8737972437647,17.6346521362135,1.03788094937078,16.3521726866994,19.0102610813937
"Temamatla","México",-98.8837773222667,19.1889326172339,18.0017905910329,1.03429025944294,16.8252891795962,19.2591048303784
"Temascalapa","México",-98.8810687211539,19.8191207392386,16.3886813449607,1.02876648362695,15.4574084090155,17.342586357032
"Temascalcingo","México",-100.037004860334,19.9212574281481,17.6346649041041,1.03788049466091,16.3522031454125,19.0102591443074
"Temascaltepec","México",-99.9965947851722,19.0813623444684,17.6346863026857,1.03787906577511,16.3522559242751,19.0102646470461
"Temoaya","México",-99.6024694667279,19.4849595956916,17.6462857447426,1.03746054701996,16.3763178661775,19.010955415347
"Tenancingo","México",-99.5692202578633,18.9670198607315,17.6374105273339,1.03777355036073,16.3567578044612,19.0116564388293
"Tenango del Aire","México",-98.8701506083359,19.1516371512557,17.8653550276562,1.03553507413112,16.6401524060733,19.1654504732834
"Tenango del Valle","México",-99.6292609564111,19.0816644069729,17.6372438592923,1.03774890096805,16.3575888984187,19.0109948873935
"Teoloyucan","México",-99.1681847919813,19.7622073988872,17.3895179121691,1.0323820062284,16.2955577865245,18.5357382699695
"Teotihuacán","México",-98.8706614997861,19.6863192881932,17.2377292806068,1.03238196756498,16.137672880003,18.360956704014
"Tepetlaoxtoc","México",-98.7654721257037,19.5693824822662,17.6079274413791,1.03569285961947,16.4069221557521,18.8918146470365
"Tepetlixpa","México",-98.8412838969044,19.0099403441855,17.678495003241,1.03738272715991,16.4127159885289,19.0368398423975
"Tepotzotlán","México",-99.3061936819199,19.7252131302946,17.7233706755544,1.03486980758588,16.5298293446592,18.9997574382165
"Tequixquiac","México",-99.1495885140042,19.9046479432163,17.1669161610331,1.033807440526,16.0287980513314,18.3446948940413
"Texcaltitlán","México",-99.9392985474132,18.939564311596,17.6346897879784,1.03787909951838,16.352251121799,19.0102726470309
"Texcalyacac","México",-99.5064291036477,19.1296439998876,17.647871122242,1.03721694924348,16.3794021844163,19.0032806563957
"Texcoco","México",-98.8277922178493,19.4716241966501,17.747029924971,1.03295974603638,16.631264237375,18.9481925475111
"Tezoyuca","México",-98.9310083626662,19.5968652841366,17.5192782045514,1.02920246312664,16.5207626362246,18.5717632493913
"Tianguistenco","México",-99.432163793368,19.1623001990253,17.6708209303714,1.03610496125043,16.43377716788,18.9736405553549
"Timilpan","México",-99.7180415895398,19.8963457821424,17.6350533992519,1.03786191310669,16.3532581439436,19.0100373532362
"Tlalmanalco","México",-98.7319696777355,19.2089023269743,17.7220327857248,1.03696367725242,16.4697438306169,19.0581912848796
"Tlalnepantla de Baz","México",-99.1701463548761,19.5427453248915,18.9551354867182,1.02038166936665,18.22785214343,19.7321864702453
"Tlatlaya","México",-100.257083171313,18.5444826348227,17.6346510140522,1.03788100627405,16.3521702114679,19.0102608100623
"Toluca","México",-99.6664054974013,19.2970886742649,17.637615033913,1.03768951235807,16.3610199251651,19.0094531634053
"Tonanitla","México",-99.0583652236375,19.6818359386014,17.3007460619404,1.02779531932271,16.3634095035216,18.2958678876069
"Tonatico","México",-99.6375592478019,18.7809034876277,17.6349813328543,1.03786974823288,16.352671935212,19.0104537314182
"Tultepec","México",-99.1196483037887,19.6793050500025,17.575359370612,1.02832779483573,16.6095025446164,18.599300736078
"Tultitlán","México",-99.1452884268194,19.6262095047422,18.0126295862753,1.02469978962198,17.1991308148858,18.9283807844573
"Valle de Bravo","México",-100.121950261168,19.1777677499075,17.6346617523412,1.03788043168354,16.3521976936387,19.0102610634373
"Valle de Chalco Solidaridad","México",-98.9483603376543,19.276389314001,19.0641477637789,1.02655936235753,18.1364674320861,20.1173119510323
"Villa de Allende","México",-100.137563722085,19.3872429603488,17.6346650705675,1.03788038825422,16.3522051200505,19.0102613917633
"Villa del Carbón","México",-99.4784326292626,19.7210614153013,17.6621008157499,1.03720000228559,16.4020668580145,19.0145635958562
"Villa Guerrero","México",-99.6877294913264,18.9742990946372,17.6354479231912,1.03784556481841,16.3536539628501,19.0105933012344
"Villa Victoria","México",-99.9921342548284,19.4427502536028,17.634741829443,1.03787727151577,16.3523915722438,19.0102660596387
"Xalatlaco","México",-99.3592706389747,19.1652452232138,17.7267323846861,1.03419360968283,16.5559622420293,18.9627422301807
"Xonacatlán","México",-99.467598732094,19.436951056515,17.6805459700866,1.03570789107285,16.4633368835234,18.9687241020369
"Zacazonapan","México",-100.256110299591,19.0608296260008,17.6346524438883,1.03788092939386,16.3521737722628,19.0102609152227
"Zacualpan","México",-99.8128110457008,18.7158201778574,17.6346879995829,1.03787963258839,16.35223019148,19.0102808083618
"Zinacantepec","México",-99.7977031105797,19.2154040427574,17.6351929364307,1.03784835079764,16.3536374706612,19.0102246804806
"Zumpahuacán","México",-99.5540893454374,18.8001173934875,17.6354648195824,1.03785498731355,16.3533545715554,19.0107534256638
"Zumpango","México",-99.0718205573022,19.8091067884574,16.3188161708353,1.02734236409469,15.4236453118398,17.2188797436556
